RASAGILINE	http://www.drugbank.ca/drugs/DB01367	134748
DEOXYCHOLIC ACID	http://www.drugbank.ca/drugs/DB03619	3194
LEDIPASVIR	http://www.drugbank.ca/drugs/DB09027	1591922
ACEGLUTAMIDE	http://www.drugbank.ca/drugs/DB04167	1426379
PILOCARPINE	http://www.drugbank.ca/drugs/DB01085	8328
AMMONIUM CHLORIDE	http://www.drugbank.ca/drugs/DB06767	712
OXIBENDAZOLE	http://www.drugbank.ca/drugs/DB04910	1009342
TROMETHAMINE	http://www.drugbank.ca/drugs/DB03754	10865
VILANTEROL	http://www.drugbank.ca/drugs/DB09082	1424884
MAGNESIUM CHLORIDE	http://www.drugbank.ca/drugs/DB09407	221118
MAGNESIUM CHLORIDE	http://www.drugbank.ca/drugs/DB09407	6579
ROPINIROLE	http://www.drugbank.ca/drugs/DB00268	72302
TINIDAZOLE	http://www.drugbank.ca/drugs/DB00911	10612
FLOXURIDINE	http://www.drugbank.ca/drugs/DB00322	4488
ETHYL PYRUVATE	http://www.drugbank.ca/drugs/DB05869	1539968
CYTARABINE	http://www.drugbank.ca/drugs/DB00987	3041
MOMETASONE FUROATE	http://www.drugbank.ca/drugs/DB00764	30145
DEXRAZOXANE	http://www.drugbank.ca/drugs/DB00380	42736
PEMETREXED	http://www.drugbank.ca/drugs/DB00642	68446
APROTININ	http://www.drugbank.ca/drugs/DB06692	1056
ISOLEUCINE	http://www.drugbank.ca/drugs/DB00167	6033
OXALIPLATIN	http://www.drugbank.ca/drugs/DB00526	32592
WATER	http://www.drugbank.ca/drugs/DB09145	11295
TETRACAINE	http://www.drugbank.ca/drugs/DB09085	10391
PRAMOXINE	http://www.drugbank.ca/drugs/DB09345	34347
TOLNAFTATE	http://www.drugbank.ca/drugs/DB00525	10637
LIOTHYRONINE	http://www.drugbank.ca/drugs/DB00279	10814
TELAVANCIN HYDROCHLORIDE	http://www.drugbank.ca/drugs/DB06402	864624
DYCLONINE	http://www.drugbank.ca/drugs/DB00645	23744
CLODRONIC ACID	http://www.drugbank.ca/drugs/DB00720	3350
SUVOREXANT	http://www.drugbank.ca/drugs/DB09034	1547099
